month,channel,impressions,clicks,spend,conversions,revenue,ctr_pct,cvr_pct,cpc,roas,cpa
2025-07,Google Search,227929,10256,43079.0,219,163660.0,4.5,2.22,4.2,3.8,196.0
2025-07,Google Shopping,1430656,17167,53220.0,367,245032.0,1.2,2.07,3.1,4.6,145.0
2025-07,Facebook Ads,1754997,15794,36328.0,146,75785.0,0.9,1.02,2.3,2.09,249.0
2025-07,Instagram Ads,853414,9387,26285.0,124,65780.0,1.1,1.4,2.8,2.5,211.0
2025-07,TikTok Ads,1013501,14189,22702.0,111,51082.0,1.4,0.73,1.6,2.25,204.0
2025-07,Apple Search Ads,71388,2141,11565.0,19,14993.0,3.0,0.93,5.4,1.3,603.0
2025-08,Google Search,229501,10327,43376.0,243,177648.0,4.5,2.22,4.2,4.1,178.0
2025-08,Google Shopping,1495908,17950,55648.0,405,291340.0,1.2,2.07,3.1,5.24,137.0
2025-08,Facebook Ads,1925939,17333,39867.0,190,100651.0,0.9,1.02,2.3,2.52,209.0
2025-08,Instagram Ads,869610,9565,26784.0,139,76989.0,1.1,1.4,2.8,2.87,192.0
2025-08,TikTok Ads,951569,13321,21315.0,100,47751.0,1.4,0.73,1.6,2.24,211.0
2025-08,Apple Search Ads,72739,2182,11784.0,18,15067.0,3.0,0.93,5.4,1.28,631.0
2025-09,Google Search,243007,10935,45928.0,229,159072.0,4.5,2.22,4.2,3.46,201.0
2025-09,Google Shopping,1440469,17285,53585.0,329,223720.0,1.2,2.07,3.1,4.18,163.0
2025-09,Facebook Ads,1989438,17904,41181.0,176,97533.0,0.9,1.02,2.3,2.37,234.0
2025-09,Instagram Ads,800660,8807,24660.0,127,64057.0,1.1,1.4,2.8,2.6,193.0
2025-09,TikTok Ads,1039865,14558,23293.0,104,46875.0,1.4,0.73,1.6,2.01,223.0
2025-09,Apple Search Ads,77959,2338,12629.0,21,17933.0,3.0,0.93,5.4,1.42,574.0
2025-10,Google Search,211513,9518,39976.0,223,160295.0,4.5,2.22,4.2,4.01,179.0
2025-10,Google Shopping,1348610,16183,50168.0,366,241028.0,1.2,2.07,3.1,4.8,137.0
2025-10,Facebook Ads,1702999,15326,35252.0,155,81917.0,0.9,1.02,2.3,2.32,227.0
2025-10,Instagram Ads,819495,9014,25240.0,127,71468.0,1.1,1.4,2.8,2.83,197.0
2025-10,TikTok Ads,1071998,15007,24013.0,100,48911.0,1.4,0.73,1.6,2.04,240.0
2025-10,Apple Search Ads,69421,2082,11246.0,20,16475.0,3.0,0.93,5.4,1.46,547.0
2025-11,Google Search,235469,10596,44504.0,245,187488.0,4.5,2.22,4.2,4.21,181.0
2025-11,Google Shopping,1645236,19742,61203.0,390,277857.0,1.2,2.07,3.1,4.54,157.0
2025-11,Facebook Ads,1953174,17578,40431.0,164,91891.0,0.9,1.02,2.3,2.27,246.0
2025-11,Instagram Ads,826540,9091,25457.0,118,63030.0,1.1,1.4,2.8,2.48,215.0
2025-11,TikTok Ads,989643,13855,22168.0,102,48823.0,1.4,0.73,1.6,2.2,216.0
2025-11,Apple Search Ads,75193,2255,12181.0,22,17876.0,3.0,0.93,5.4,1.47,537.0
2025-12,Google Search,222916,10031,42131.0,216,163620.0,4.5,2.22,4.2,3.88,195.0
2025-12,Google Shopping,1595632,19147,59358.0,373,269469.0,1.2,2.07,3.1,4.54,159.0
2025-12,Facebook Ads,2027120,18244,41961.0,196,101703.0,0.9,1.02,2.3,2.42,214.0
2025-12,Instagram Ads,833239,9165,25664.0,138,76634.0,1.1,1.4,2.8,2.99,185.0
2025-12,TikTok Ads,968090,13553,21685.0,99,45251.0,1.4,0.73,1.6,2.09,217.0
2025-12,Apple Search Ads,76283,2288,12358.0,19,15379.0,3.0,0.93,5.4,1.24,642.0
2026-01,Google Search,236122,10625,44627.0,255,188942.0,4.5,2.22,4.2,4.23,175.0
2026-01,Google Shopping,1540300,18483,57299.0,377,263840.0,1.2,2.07,3.1,4.6,152.0
2026-01,Facebook Ads,2100504,18904,43480.0,194,105298.0,0.9,1.02,2.3,2.42,224.0
2026-01,Instagram Ads,904502,9949,27859.0,141,79170.0,1.1,1.4,2.8,2.84,197.0
2026-01,TikTok Ads,1105332,15474,24759.0,121,53298.0,1.4,0.73,1.6,2.15,203.0
2026-01,Apple Search Ads,77592,2327,12570.0,23,19267.0,3.0,0.93,5.4,1.53,541.0
2026-02,Google Search,268726,12092,50789.0,261,186032.0,4.5,2.22,4.2,3.66,194.0
2026-02,Google Shopping,1856463,22277,69060.0,448,311684.0,1.2,2.07,3.1,4.51,154.0
2026-02,Facebook Ads,2348674,21138,48618.0,234,136859.0,0.9,1.02,2.3,2.82,207.0
2026-02,Instagram Ads,1020270,11222,31424.0,145,72247.0,1.1,1.4,2.8,2.3,216.0
2026-02,TikTok Ads,1189365,16651,26642.0,111,49401.0,1.4,0.73,1.6,1.85,239.0
2026-02,Apple Search Ads,85036,2551,13776.0,26,20498.0,3.0,0.93,5.4,1.49,529.0
2026-03,Google Search,268181,12068,50686.0,290,215394.0,4.5,2.22,4.2,4.25,175.0
2026-03,Google Shopping,2028012,24336,75442.0,489,361591.0,1.2,2.07,3.1,4.79,154.0
2026-03,Facebook Ads,2631555,23683,54473.0,244,142309.0,0.9,1.02,2.3,2.61,223.0
2026-03,Instagram Ads,1106173,12167,34070.0,168,92075.0,1.1,1.4,2.8,2.7,202.0
2026-03,TikTok Ads,1322587,18516,29626.0,127,59444.0,1.4,0.73,1.6,2.01,233.0
2026-03,Apple Search Ads,87577,2627,14188.0,26,21715.0,3.0,0.93,5.4,1.53,540.0
2026-04,Google Search,272771,12274,51554.0,296,230431.0,4.5,2.22,4.2,4.47,174.0
2026-04,Google Shopping,2090698,25088,77774.0,512,362917.0,1.2,2.07,3.1,4.67,152.0
2026-04,Facebook Ads,2235506,20119,46275.0,189,101428.0,0.9,1.02,2.3,2.19,245.0
2026-04,Instagram Ads,1119386,12313,34477.0,181,91609.0,1.1,1.4,2.8,2.66,190.0
2026-04,TikTok Ads,1224092,17137,27420.0,130,63735.0,1.4,0.73,1.6,2.32,211.0
2026-04,Apple Search Ads,107593,3227,17430.0,31,27476.0,3.0,0.93,5.4,1.58,554.0
2026-05,Google Search,292146,13146,55216.0,307,222608.0,4.5,2.22,4.2,4.03,179.0
2026-05,Google Shopping,1878368,22540,69875.0,504,350485.0,1.2,2.07,3.1,5.02,138.0
2026-05,Facebook Ads,2521206,22690,52189.0,231,120484.0,0.9,1.02,2.3,2.31,226.0
2026-05,Instagram Ads,1022441,11246,31491.0,157,85488.0,1.1,1.4,2.8,2.71,200.0
2026-05,TikTok Ads,1347843,18869,30192.0,133,58292.0,1.4,0.73,1.6,1.93,227.0
2026-05,Apple Search Ads,97600,2928,15811.0,25,20514.0,3.0,0.93,5.4,1.3,619.0
2026-06,Google Search,272977,12283,51593.0,266,193957.0,4.5,2.22,4.2,3.76,193.0
2026-06,Google Shopping,1631210,19574,60681.0,379,277425.0,1.2,2.07,3.1,4.57,160.0
2026-06,Facebook Ads,2230740,20076,46176.0,220,126418.0,0.9,1.02,2.3,2.74,209.0
2026-06,Instagram Ads,960558,10566,29585.0,144,76760.0,1.1,1.4,2.8,2.59,204.0
2026-06,TikTok Ads,1094795,15327,24523.0,102,50004.0,1.4,0.73,1.6,2.04,239.0
2026-06,Apple Search Ads,95666,2869,15498.0,26,21999.0,3.0,0.93,5.4,1.42,595.0
