"order_month","category","revenue"
"2025-07","Toys","1.5705911E7"
"2025-07","Groceries","7518763.0"
"2025-10","Toys","2.3273754E7"
"2026-02","Electronics","6.239178E7"
"2026-02","Beauty","2.0383172E7"
"2026-02","Fashion","2.5837807E7"
"2026-03","Home & Kitchen","5.3361399E7"
"2026-01","Fashion","2.652626E7"
"2026-04","Home & Kitchen","4.9705264E7"
"2025-11","Sport & Outdoor","4.4142664E7"
"2025-11","Garden & Pool","4.7975618E7"
"2025-01","Sport & Outdoor","2205732.0"
"2025-01","Toys","1215408.0"
"2026-06","Sport & Outdoor","1.1446557E7"
"2025-04","Home & Kitchen","1.2284133E7"
"2025-03","Home & Kitchen","8980754.0"
"2025-05","Fashion","9464336.0"
"2025-06","Books","7586479.0"
"2025-09","Toys","2.0295103E7"
"2025-09","Fashion","1.7516956E7"
"2025-09","Groceries","9469748.0"
"2025-07","Fashion","1.3559523E7"
"2025-12","Fashion","2.4422929E7"
"2026-02","Baby","3.2481023E7"
"2026-03","Electronics","7.3888588E7"
"2026-03","Pet Supplies","2.727395E7"
"2026-01","Home & Kitchen","4.5779642E7"
"2026-01","Electronics","6.4749243E7"
"2026-04","Electronics","6.9022204E7"
"2026-04","Baby","3.5773022E7"
"2025-11","Groceries","1.1744386E7"
"2025-02","Automotive","5404200.0"
"2025-01","Fashion","1099648.0"
"2026-06","Garden & Pool","1.2478607E7"
"2025-04","Electronics","1.7102439E7"
"2025-03","Fashion","5164735.0"
"2025-05","Pet Supplies","8440198.0"
"2025-06","Baby","1.4042587E7"
"2026-05","Toys","2.0753066E7"
"2025-08","Electronics","3.8155996E7"
"2025-09","Pet Supplies","1.5549456E7"
"2025-09","Sport & Outdoor","3.5307048E7"
"2025-10","Garden & Pool","4.4952315E7"
"2025-10","Books","1.3686486E7"
"2025-12","Electronics","5.9248431E7"
"2026-03","Beauty","2.4228142E7"
"2026-03","Groceries","1.6853172E7"
"2026-03","Fashion","3.0472672E7"
"2026-01","Toys","3.0364548E7"
"2026-01","Books","1.810454E7"
"2026-01","Sport & Outdoor","5.4602136E7"
"2026-04","Pet Supplies","2.5253524E7"
"2026-04","Garden & Pool","6.2779189E7"
"2026-04","Sport & Outdoor","5.8051052E7"
"2025-11","Beauty","1.7032657E7"
"2025-11","Home & Kitchen","3.7659028E7"
"2025-01","Baby","1350954.0"
"2026-06","Toys","6595100.0"
"2025-03","Automotive","9904215.0"
"2025-04","Baby","8784926.0"
"2025-05","Home & Kitchen","1.657251E7"
"2025-05","Baby","1.191832E7"
"2025-06","Home & Kitchen","1.9598419E7"
"2026-05","Electronics","4.3432352E7"
"2026-05","Beauty","1.409153E7"
"2026-05","Pet Supplies","1.5974992E7"
"2026-05","Garden & Pool","4.01092E7"
"2025-10","Automotive","3.7967647E7"
"2025-07","Pet Supplies","1.2307929E7"
"2025-07","Books","9283599.0"
"2025-12","Beauty","1.9137967E7"
"2025-12","Books","1.6562401E7"
"2025-12","Groceries","1.3254746E7"
"2025-12","Baby","3.0877337E7"
"2026-02","Groceries","1.4161887E7"
"2026-01","Garden & Pool","5.8625955E7"
"2025-11","Toys","2.4910106E7"
"2025-02","Garden & Pool","6346791.0"
"2025-02","Books","1911425.0"
"2025-03","Pet Supplies","4717736.0"
"2025-04","Pet Supplies","6276348.0"
"2025-04","Automotive","1.3466848E7"
"2025-05","Books","6438525.0"
"2025-06","Garden & Pool","2.4842593E7"
"2025-08","Toys","1.8419656E7"
"2025-08","Books","1.0747545E7"
"2025-09","Garden & Pool","3.8306252E7"
"2026-04","Beauty","2.2095992E7"
"2025-02","Sport & Outdoor","5788148.0"
"2025-02","Home & Kitchen","4994700.0"
"2025-01","Groceries","598470.0"
"2025-01","Beauty","816699.0"
"2025-03","Beauty","4004315.0"
"2025-03","Baby","6521445.0"
"2025-04","Fashion","7113640.0"
"2025-05","Groceries","5134585.0"
"2025-05","Sport & Outdoor","1.9724837E7"
"2025-06","Fashion","1.1157152E7"
"2025-06","Electronics","2.6783845E7"
"2026-05","Books","1.2407682E7"
"2026-05","Home & Kitchen","3.0897192E7"
"2026-05","Groceries","9872644.0"
"2025-08","Home & Kitchen","2.760372E7"
"2025-08","Sport & Outdoor","3.24869E7"
"2025-07","Automotive","2.6027448E7"
"2025-12","Home & Kitchen","4.2216219E7"
"2026-02","Pet Supplies","2.3021257E7"
"2026-04","Fashion","2.8321518E7"
"2025-11","Books","1.4616379E7"
"2025-02","Fashion","2804013.0"
"2025-02","Pet Supplies","2511438.0"
"2025-02","Electronics","6883809.0"
"2026-06","Baby","7253692.0"
"2025-04","Sport & Outdoor","1.4440618E7"
"2025-05","Electronics","2.2909782E7"
"2026-05","Baby","2.2527402E7"
"2025-09","Automotive","3.2810235E7"
"2025-07","Baby","1.722332E7"
"2025-10","Fashion","2.0082976E7"
"2025-12","Automotive","4.5817618E7"
"2025-12","Sport & Outdoor","5.046863E7"
"2026-02","Garden & Pool","5.7096255E7"
"2026-02","Toys","3.0064349E7"
"2026-02","Books","1.7431528E7"
"2026-01","Groceries","1.4462221E7"
"2026-01","Pet Supplies","2.3870563E7"
"2026-01","Automotive","5.0227854E7"
"2025-01","Garden & Pool","2480214.0"
"2025-01","Home & Kitchen","1843958.0"
"2026-06","Pet Supplies","5008563.0"
"2026-06","Groceries","3134723.0"
"2025-04","Garden & Pool","1.5844623E7"
"2025-04","Books","4720397.0"
"2025-03","Garden & Pool","1.1718836E7"
"2025-06","Toys","1.290554E7"
"2025-06","Groceries","6127522.0"
"2026-05","Automotive","3.3911154E7"
"2025-09","Books","1.1730751E7"
"2025-07","Garden & Pool","3.0647009E7"
"2025-10","Home & Kitchen","3.5025564E7"
"2025-12","Garden & Pool","5.3588706E7"
"2026-02","Automotive","4.9270664E7"
"2026-01","Beauty","2.0824661E7"
"2025-02","Beauty","2214060.0"
"2025-02","Groceries","1542089.0"
"2025-01","Electronics","2712767.0"
"2025-03","Books","3498087.0"
"2025-08","Automotive","3.0085033E7"
"2025-08","Pet Supplies","1.4355958E7"
"2025-12","Toys","2.8397074E7"
"2026-02","Home & Kitchen","4.4889142E7"
"2026-03","Books","2.0824193E7"
"2026-03","Toys","3.52552E7"
"2026-03","Automotive","5.7526821E7"
"2026-01","Baby","3.3391594E7"
"2026-04","Automotive","5.4048541E7"
"2026-04","Toys","3.295275E7"
"2025-11","Pet Supplies","1.9219039E7"
"2025-11","Fashion","2.1412272E7"
