sku_or_id,title,brand,category,price,availability,availability_bucket,n_images,desc_len,source_url,image_url
52949526,GAV Rubber Hose 13mm I.D. 100 Metres,GAV,General Merchandise,4617,Ships in 5 - 7 work days,Lead time (imported),1,99,https://www.takealot.com/gav-rubber-hose-13mm-i-d-100-metres/PLID52949526,https://media.takealot.com/covers_tsins/55925014/55925014-1-pdpxl.jpeg
101817901,5-Speed Electric Pet Nail Grinder: LED Light Anti-Splash Sponge Trimmer,,Beauty & Health,443,Ships in 14 - 16 work days,Lead time (imported),10,1263,https://www.takealot.com/5-speed-electric-pet-nail-grinder-led-light-anti-splash-sponge-t/PLID101817901,https://media.takealot.com/covers_images/df3366baabaa4b9d88cae75d082ecc8e/s-pdpxl.file
101825874,DIN Rail Terminal Block 76A 800V Screw Type UK-10N,,Toys & Games,446,Ships in 14 - 16 work days,Lead time (imported),5,653,https://www.takealot.com/din-rail-terminal-block-76a-800v-screw-type-uk-10n/PLID101825874,https://media.takealot.com/covers_images/4db49ab3ce504a6796c7921ab79a1a74/s-pdpxl.file
95282218,3-Piece Travel 28-Inch Luggage Suitcase Bag Set - Stylish,,Fashion,1499,,No live offer,69,1161,https://www.takealot.com/3-piece-travel-28-inch-luggage-suitcase-bag-set-stylish/PLID95282218,https://media.takealot.com/covers_images/94ad2d09438e428ba27bf8e8bc853906/s-pdpxl.file
73671586,80cm Round White top Wooden Leg Table,,Home & Kitchen,1018,In stock,In stock (fast),2,699,https://www.takealot.com/80cm-round-white-top-wooden-leg-table/PLID73671586,https://media.takealot.com/covers_images/6828dfe491844844925fa82633c0332b/s-pdpxl.file
96246568,Unbreakable 3piece Red HardShell Luggage Set-Spinner Wheels & Built-in Lock,,General Merchandise,3500,Ships in 5 - 7 work days,Lead time (imported),6,1785,https://www.takealot.com/unbreakable-3piece-red-hardshell-luggage-set-spinner-wheels-buil/PLID96246568,https://media.takealot.com/covers_images/0e332f14099e400ba0137e6b51099b25/s-pdpxl.file
102123070,Full Twist Ebike Throttle Grip with 1.5m Cable Kit,,Electronics,505,Ships in 14 - 16 work days,Lead time (imported),9,702,https://www.takealot.com/full-twist-ebike-throttle-grip-with-1-5m-cable-kit/PLID102123070,https://media.takealot.com/covers_images/a52bb990ae3f4d5badcc915e0d3608f7/s-pdpxl.file
96230501,Dark Gray Hardshell Luggage Set,Mooistar,General Merchandise,3500,Ships in 5 - 7 work days,Lead time (imported),5,1978,https://www.takealot.com/dark-gray-hardshell-luggage-set/PLID96230501,https://media.takealot.com/covers_images/f7008c865c15417a8c90fa941daae6b3/s-pdpxl.file
97215450,Intel Core Ultra 5 245K LGA1851 4.2Ghz 14-Core CPU,Intel,General Merchandise,4835,Ships in 4 - 6 work days,Lead time (imported),5,5630,https://www.takealot.com/intel-core-ultra-5-245k-lga1851-4-2ghz-14-core-cpu/PLID97215450,https://media.takealot.com/covers_images/c66c7475138e450aa48a631065759288/s-pdpxl.file
46857532,Stylin' Dredz Moisture Splash Conditioning Spray - 350ml,Stylin' Dredz,General Merchandise,105,In stock,In stock (fast),5,919,https://www.takealot.com/stylin-dredz-moisture-splash-conditioning-spray-350ml/PLID46857532,https://media.takealot.com/covers_images/e5e4375eae92499c91d736c6ddd86d06/s-pdpxl.file
93156840,9kg Empty Gas Cylinder -Grey (LPG),SAFY GAS,General Merchandise,749,In stock,In stock (fast),2,740,https://www.takealot.com/9kg-empty-gas-cylinder-grey-lpg/PLID93156840,https://media.takealot.com/covers_images/4d72f442b21748eb8cc76c37e3099329/s-pdpxl.file
98079112,DIY Jewellery & Bracelet Organizer Storage Tray,,Home & Kitchen,538,Ships in 14 - 16 work days,Lead time (imported),5,680,https://www.takealot.com/diy-jewellery-bracelet-organizer-storage-tray/PLID98079112,https://media.takealot.com/covers_images/def1a288139e466e9ce77522bf7638af/s-pdpxl.file
94378935,Coffee Table - Rectangular Clear Tempered Glass Top with Steel Frame,,Home & Kitchen,4291,Ships in 5 - 7 work days,Lead time (imported),1,858,https://www.takealot.com/coffee-table-rectangular-clear-tempered-glass-top-with-steel-fra/PLID94378935,https://media.takealot.com/covers_images/51768b733411419596bf013d2df16595/s-pdpxl.file
94757817,Smte-Plastic Chair With Wooden Leg Set of 2+ SMTE Keychain - Black,,Home & Kitchen,682,In stock,In stock (fast),3,287,https://www.takealot.com/smte-plastic-chair-with-wooden-leg-set-of-2-smte-keychain/PLID94757817,https://media.takealot.com/covers_images/910adec5872540e2830a6efec49fad04/s-pdpxl.file
102202542,"Lenovo ThinkPad E16 Gen 3 16"" WUXGA Laptop - Ultra 7 258V, 32GB RAM 1TB SSD",Lenovo,Electronics,33399,Ships in 3 - 5 work days,Lead time (imported),6,4626,https://www.takealot.com/lenovo-thinkpad-e16-gen-3-16-wuxga-laptop-ultra-7-258v-32gb-ram-/PLID102202542,https://media.takealot.com/covers_images/a7f6c1346f0543db902151a649a3d8a1/s-pdpxl.file
101352303,50mm Stainless Steel Cable Ties for Exhaust Pipe & Metal Locking,,Electronics,485,Ships in 14 - 16 work days,Lead time (imported),5,804,https://www.takealot.com/50mm-stainless-steel-cable-ties-for-exhaust-pipe-metal-locking/PLID101352303,https://media.takealot.com/covers_images/603838b8fa544a0397021f7b469775fc/s-pdpxl.file
90320778,Red Mixology Bar Stool,,Tools & DIY,1395,Ships in 5 - 7 work days,Lead time (imported),1,620,https://www.takealot.com/red-mixology-bar-stool/PLID90320778,https://media.takealot.com/covers_images/b633f11f60524f03afc9b26611c4e8f5/s-pdpxl.file
90380444,Blue & Gold Luxury Plush Throw Blanket,,General Merchandise,358,Ships in 5 - 7 work days,Lead time (imported),2,494,https://www.takealot.com/blue-gold-luxury-plush-throw-blanket/PLID90380444,https://media.takealot.com/covers_images/85772a2a9c0f47abb8c7e25eca8fc184/s-pdpxl.file
101047118,360 Ring Stand Hard Phone Case Compatible With Oppo A18,,Electronics,306,,No live offer,15,792,https://www.takealot.com/360-ring-stand-hard-phone-case-compatible-with-oppo-a18/PLID101047118,https://media.takealot.com/covers_images/43f3164a27fe4d3d9e5765afd769d4d0/s-pdpxl.file
101463283,Wahl Hair Cutting Clipper Shaving Machine Adjustable Kit Easy Cut- Set,WAHL,Home & Kitchen,574,Ships in 5 - 7 work days,Lead time (imported),5,1307,https://www.takealot.com/wahl-hair-cutting-clipper-shaving-machine-adjustable-kit-easy-cu/PLID101463283,https://media.takealot.com/covers_images/8d15157c8d804e75aa11b475fd4b4973/s-pdpxl.file
101459659,Compatible with Retro Ethnic Style Bracelet,,General Merchandise,317,Ships in 14 - 16 work days,Lead time (imported),2,698,https://www.takealot.com/compatible-with-retro-ethnic-style-bracelet/PLID101459659,https://media.takealot.com/covers_images/c93cb80c5ad04eb686acae9dd98d1ec5/s-pdpxl.file
101158843,"2Pieces Wireless Lavalier Mics, Compatible With Streaming",,General Merchandise,356,Ships in 14 - 16 work days,Lead time (imported),5,971,https://www.takealot.com/2pieces-wireless-lavalier-mics-compatible-with-streaming/PLID101158843,https://media.takealot.com/covers_images/9ad642164e3340a7bc755664d17fdaba/s-pdpxl.file
90116653,FSP Hydro Pro M 700W Semi-Modular Power Supply,,General Merchandise,1578,Ships in 5 - 7 work days,Lead time (imported),1,1789,https://www.takealot.com/fsp-hydro-pro-m-700w-semi-modular-power-supply/PLID90116653,https://media.takealot.com/covers_images/693d517367ab4de589f5e49132dc6a06/s-pdpxl.file
97215468,Antec C8 ARGB E-ATX DUAL Full Tower Gaming Chassis - Black,Antec,Electronics,3839,Ships in 5 - 7 work days,Lead time (imported),7,3281,https://www.takealot.com/antec-c8-argb-e-atx-dual-full-tower-gaming-chassis-black/PLID97215468,https://media.takealot.com/covers_images/807cc82a018d4a5fa88690b9f589100c/s-pdpxl.file
101368473,Pair of Skull Skeleton Hand 8mm 10mm Rearview Mirror for Motorcycle,,Automotive,547,Ships in 14 - 16 work days,Lead time (imported),5,983,https://www.takealot.com/pair-of-skull-skeleton-hand-8mm-10mm-rearview-mirror-for-motorcy/PLID101368473,https://media.takealot.com/covers_images/cdcf9fe1f2364d36af6bd1fca10f536c/s-pdpxl.file
95410024,Travel 28-Inch Luggage Suitcase Bag Set - Stylish - 3-Piece,,Fashion,1499,,No live offer,70,1161,https://www.takealot.com/travel-28-inch-luggage-suitcase-bag-set-stylish-3-piece/PLID95410024,https://media.takealot.com/covers_images/38f41c71e6064b2288768bd84012aba3/s-pdpxl.file
91759787,Super soft Throw Fleece Blanket Warm Winter,,General Merchandise,249,,No live offer,16,810,https://www.takealot.com/super-soft-throw-fleece-blanket-warm-winter/PLID91759787,https://media.takealot.com/covers_images/5c41da94f3ba4e22a790a1ae78c1e4c0/s-pdpxl.file
102052809,Plush Character Keychain Set for Bags and Keys - 8 Piece,,Fashion,497,Ships in 14 - 16 work days,Lead time (imported),5,672,https://www.takealot.com/plush-character-keychain-set-for-bags-and-keys-8-piece/PLID102052809,https://media.takealot.com/covers_images/8e02d447715e446a8136085022b81539/s-pdpxl.file
102146020,Mini Deep Tissue Massage Gun With 4 Heads White,,Beauty & Health,361,Ships in 14 - 16 work days,Lead time (imported),8,777,https://www.takealot.com/mini-deep-tissue-massage-gun-with-4-heads-white/PLID102146020,https://media.takealot.com/covers_images/76586d32e47d4a19abb441bba7dd7f88/s-pdpxl.file
100234420,Flip Wallet Wrist Strap Phone Case Compatible With iPhone 13 Pro,,Electronics,236,,No live offer,36,299,https://www.takealot.com/flip-wallet-wrist-strap-phone-case-compatible-with-iphone-13-pro/PLID100234420,https://media.takealot.com/covers_images/8004b3a946e24644b390a7d284522ec6/s-pdpxl.file
100687778,Luxurious Natural Slim Volume False Eyelashes|Compatible with Daily,,General Merchandise,397,In stock,In stock (fast),3,607,https://www.takealot.com/luxurious-natural-slim-volume-false-eyelashes-compatible-with-da/PLID100687778,https://media.takealot.com/covers_images/1f25cb4a562f4c7e839c47a47d9b3b83/s-pdpxl.file
91223989,Nails Clout 50mm 500g Pre-Pack - 3 Pack,,Beauty & Health,231,Ships in 4 - 6 work days,Lead time (imported),1,83,https://www.takealot.com/nails-clout-50mm-500g-pre-pack-3-pack/PLID91223989,https://media.takealot.com/covers_images/fe634ebeb4bf4d4b943f7ea832ed3376/s-pdpxl.file
100366035,Quartz Movement Watch Accessories For Isa 220 Movement Watch Date,,Fashion,1039,Ships in 14 - 16 work days,Lead time (imported),10,824,https://www.takealot.com/quartz-movement-watch-accessories-for-isa-220-movement-watch-dat/PLID100366035,https://media.takealot.com/covers_images/038b81cb6cef4ca5a24516da63a81038/s-pdpxl.file
101190034,Motorcycle Rearview Mirror Round Mirror Compatible with Honda,,Automotive,675,Ships in 14 - 16 work days,Lead time (imported),10,1522,https://www.takealot.com/motorcycle-rearview-mirror-round-mirror-compatible-with-honda/PLID101190034,https://media.takealot.com/covers_images/772d0f828ff94c94af8ad20950263cf2/s-pdpxl.file
