antecedent,consequent,pair_customers,a_customers,b_customers,total_customers,support,conf_a_to_b,lift
Beauty,Groceries,334901,517820,517434,799997,0.41862781985432446,0.64675176702329,0.9999332733514437
Books,Sport & Outdoor,334932,517929,517374,799997,0.4186665699996375,0.6466755095775676,0.999931321704464
Baby,Pet Supplies,335139,517419,518219,799997,0.41892532096995366,0.6477129753642599,0.9999024295760708
Automotive,Baby,334570,517361,517419,799997,0.41821406830275615,0.6466857764694285,0.9998602314917183
Automotive,Garden & Pool,334555,517361,517409,799997,0.4181953182324434,0.6466567831746112,0.9998347275933341
Sport & Outdoor,Toys,334867,517374,517881,799997,0.41858531969494883,0.647243580079401,0.9998299268225337
Automotive,Electronics,334088,517361,516761,799997,0.4176115660433727,0.6457541252626309,0.9996910814626664
Baby,Books,334867,517419,517929,799997,0.41858531969494883,0.6471872892182158,0.9996503185044765
Fashion,Groceries,334875,517932,517434,799997,0.418595319732449,0.6465617108037348,0.9996394302613579
Electronics,Home & Kitchen,334334,516761,517787,799997,0.417919067196502,0.646979938501551,0.9996041033502682
Beauty,Fashion,335083,517820,517932,799997,0.4188553207074526,0.6471032405082847,0.9995147067508983
Automotive,Toys,334748,517361,517881,799997,0.4184365691371343,0.6470298302345944,0.9994997366155253
Home & Kitchen,Sport & Outdoor,334678,517787,517374,799997,0.418349068809008,0.646362307280793,0.9994470281415622
Baby,Fashion,334799,517419,517932,799997,0.41850031937619764,0.6470558676817048,0.9994415347531351
Beauty,Pet Supplies,335197,517820,518219,799997,0.41899782124182966,0.6473233942296551,0.9993010163917985
Groceries,Sport & Outdoor,334396,517434,517374,799997,0.4179965674871281,0.6462582667547938,0.999286153979587
Home & Kitchen,Pet Supplies,335165,517787,518219,799997,0.4189578210918291,0.6473028484685788,0.9992692990151222
Automotive,Pet Supplies,334859,517361,518219,799997,0.4185753196574487,0.6472443806162428,0.9991790396721317
Automotive,Home & Kitchen,334547,517361,517787,799997,0.41818531819494326,0.6466413200840418,0.9990809273760702
Garden & Pool,Toys,334599,517409,517881,799997,0.41825031843869415,0.6466818319743182,0.9989621660844067
Automotive,Beauty,334486,517361,517820,799997,0.41810906790900465,0.6465234140184514,0.9988351003138524
Beauty,Home & Kitchen,334696,517820,517787,799997,0.41837156889338334,0.6463558765594222,0.998639908263259
